id,name,brand_id,family_id,image_url,price,description_url
26120000,Ambre Canelle,749,3,http://www.basenotes.net/photos/products/st/26120000.jpg,169.99,http://www.basenotes.net/photos/products/st/26120000.jpg
26120003,X-Centric,895,3,http://www.basenotes.net/photos/products/st/26120003.jpg,21.0,http://www.basenotes.net/photos/products/st/26120003.jpg
26120006,GFT,1170,3,http://www.basenotes.net/photos/products/300/26120006-3876.jpg,62.0,http://www.basenotes.net/photos/products/300/26120006-3876.jpg
26120007,Verveine Narcisse,749,3,http://www.basenotes.net/photos/products/300/26120007-8234.jpg,0,http://www.basenotes.net/photos/products/300/26120007-8234.jpg
26120008,Citron Citron,2054,5,http://www.basenotes.net/photos/products/300/26120008-1088.jpg,99.07,http://www.basenotes.net/photos/products/300/26120008-1088.jpg
26120015,30cc / 50cc / 100cc,642,5,http://www.basenotes.net/photos/products/st/26120015.jpg,22.67,http://www.basenotes.net/photos/products/st/26120015.jpg
26120017,1805,3065,6,http://www.basenotes.net/photos/products/st/26120017.jpg,0,http://www.basenotes.net/photos/products/st/26120017.jpg
26120019,1881 pour Homme,610,3,http://www.basenotes.net/photos/products/300/26120019-7737.jpg,15.99,http://www.basenotes.net/photos/products/300/26120019-7737.jpg
26120020,1903,1423,5,http://www.basenotes.net/photos/products/300/26120020-7291.jpg,165.0,http://www.basenotes.net/photos/products/300/26120020-7291.jpg
26120021,212 Men,586,6,http://www.basenotes.net/photos/products/st/26120021.jpg,47.25,http://www.basenotes.net/photos/products/st/26120021.jpg
26120027,273 Rodeo Drive for Men,1116,8,http://www.basenotes.net/photos/products/st/26120027.jpg,42.5,http://www.basenotes.net/photos/products/st/26120027.jpg
26120028,360 Degrees for Men ,2435,3,http://www.basenotes.net/photos/products/300/26120028-13.jpg,7.99,http://www.basenotes.net/photos/products/300/26120028-13.jpg
26120030,4711 Echt Kölnisch Wasser,16,3,http://www.basenotes.net/photos/products/300/26120030-6037.jpg,13.5,http://www.basenotes.net/photos/products/300/26120030-6037.jpg
26120031,4H for Him,153,3,http://www.basenotes.net/photos/products/st/26120031.jpg,0,http://www.basenotes.net/photos/products/st/26120031.jpg
26120032,4H for Him and Her,153,3,http://www.basenotes.net/photos/products/st/26120032.jpg,0,http://www.basenotes.net/photos/products/st/26120032.jpg
26120034,A*Men / Angel Men,3012,8,http://www.basenotes.net/photos/products/300/26120034-3435.jpg,0,http://www.basenotes.net/photos/products/300/26120034-3435.jpg
26120037,Absolute,1990,3,http://www.basenotes.net/photos/products/300/26120037-5637.jpg,29.99,http://www.basenotes.net/photos/products/300/26120037-5637.jpg
26120038,Acier,493,6,http://www.basenotes.net/photos/products/300/26120038-5093.jpg,196.0,http://www.basenotes.net/photos/products/300/26120038-5093.jpg
26120039,Acier Aluminium,749,3,http://www.basenotes.net/photos/products/300/26120039-5224.jpg,297.95,http://www.basenotes.net/photos/products/300/26120039-5224.jpg
26120041,Acqua di Giò pour Homme,1191,2,http://www.basenotes.net/photos/products/300/26120041-1886.jpg,9.09,http://www.basenotes.net/photos/products/300/26120041-1886.jpg
26120042,Acqua di Parma Colonia,61,3,http://www.basenotes.net/photos/products/300/26120042-2286.jpg,56.25,http://www.basenotes.net/photos/products/300/26120042-2286.jpg
26120044,Acqua di Selva,3153,3,http://www.basenotes.net/photos/products/st/26120044.jpg,24.5,http://www.basenotes.net/photos/products/st/26120044.jpg
26120045,Acteur,325,3,http://www.basenotes.net/photos/products/st/26120045.jpg,25.5,http://www.basenotes.net/photos/products/st/26120045.jpg
26120046,Action Sport,3066,3,http://www.basenotes.net/photos/products/st/26120046.jpg,39.12,http://www.basenotes.net/photos/products/st/26120046.jpg
26120047,Active Bodies,70,3,http://www.basenotes.net/photos/products/300/26120047-1028.jpg,154.08,http://www.basenotes.net/photos/products/300/26120047-1028.jpg
26120048,Activist,460,6,http://www.basenotes.net/photos/products/300/26120048-8035.jpg,39.87,http://www.basenotes.net/photos/products/300/26120048-8035.jpg
26120049,Addiction Spice Fire,1038,10,http://www.basenotes.net/photos/products/st/26120049.jpg,0,http://www.basenotes.net/photos/products/st/26120049.jpg
26120050,Addiction Wild Ginger,1038,6,http://www.basenotes.net/photos/products/st/26120050.jpg,0,http://www.basenotes.net/photos/products/st/26120050.jpg
26120052,Adidas Adventure,70,3,http://www.basenotes.net/photos/300noimage.png,39.0,http://www.basenotes.net/photos/300noimage.png
26120053,Adidas Adventure Explore,70,3,http://www.basenotes.net/photos/300noimage.png,39.0,http://www.basenotes.net/photos/300noimage.png
26120054,Adidas Classic / Classic Blue,70,3,http://www.basenotes.net/photos/products/st/26120054.jpg,79.58,http://www.basenotes.net/photos/products/st/26120054.jpg
26120055,Adidas Dynamic / Dynamic Pulse,70,2,http://www.basenotes.net/photos/products/300/26120055-6907.jpg,15.7,http://www.basenotes.net/photos/products/300/26120055-6907.jpg
26120056,Adidas Ice Dive,70,8,http://www.basenotes.net/photos/products/st/26120056.jpg,14.96,http://www.basenotes.net/photos/products/st/26120056.jpg
26120057,Adidas Moves,70,3,http://www.basenotes.net/photos/products/st/26120057.jpg,44.77,http://www.basenotes.net/photos/products/st/26120057.jpg
26120059,Adidas Sport / Sport Field,70,3,http://www.basenotes.net/photos/products/st/26120059.jpg,56.21,http://www.basenotes.net/photos/products/st/26120059.jpg
26120060,Adidas Team / Team Force,70,1,http://www.basenotes.net/photos/products/300/26120060-7208.jpg,20.0,http://www.basenotes.net/photos/products/300/26120060-7208.jpg
26120061,Adolfo Dominguez,72,6,http://www.basenotes.net/photos/products/300/26120061-3966.jpg,41.26,http://www.basenotes.net/photos/products/300/26120061-3966.jpg
26120062,Adolfo for Men,1100,3,http://www.basenotes.net/photos/products/st/26120062.jpg,29.99,http://www.basenotes.net/photos/products/st/26120062.jpg
26120063,Adventure Quasar,1424,3,http://www.basenotes.net/photos/products/st/26120063.jpg,12.74,http://www.basenotes.net/photos/products/st/26120063.jpg
26120065,Agreste,1147,3,http://www.basenotes.net/photos/300noimage.png,0,http://www.basenotes.net/photos/300noimage.png
26120066,Agua Brava,239,3,http://www.basenotes.net/photos/products/st/26120066.jpg,40.4,http://www.basenotes.net/photos/products/st/26120066.jpg
26120068,Agua Fresca,72,5,http://www.basenotes.net/photos/products/300/26120068-8244.jpg,22.5,http://www.basenotes.net/photos/products/300/26120068-8244.jpg
26120069,Agua Lavanda,239,3,http://www.basenotes.net/photos/products/st/26120069.jpg,15.76,http://www.basenotes.net/photos/products/st/26120069.jpg
26120072,Aigues Vives,1151,3,http://www.basenotes.net/photos/products/300/26120072-6216.jpg,239.95,http://www.basenotes.net/photos/products/300/26120072-6216.jpg
26120073,Ajonc,3226,3,http://www.basenotes.net/photos/300noimage.png,147.92,http://www.basenotes.net/photos/300noimage.png
